solution	question	in_rows	time_ns
gandalff_2_1	Q1	1e4	   188402
gandalff_2_1	Q1	1e5	  1486101
gandalff_2_1	Q1	1e6	 12386396
gandalff_2_1	Q1	1e7	152724557
gandalff_2_1	Q2	1e4	   962362
gandalff_2_1	Q2	1e5	  4977425
gandalff_2_1	Q2	1e6	 26027045
gandalff_2_1	Q2	1e7	283980700
gandalff_2_1	Q3	1e4	   198003
gandalff_2_1	Q3	1e5	  2508140
gandalff_2_1	Q3	1e6	 29842384
gandalff_2_1	Q3	1e7	508511650
gandalff_2_1	Q4	1e4	   258473
gandalff_2_1	Q4	1e5	  1722080
gandalff_2_1	Q4	1e6	 13621041
gandalff_2_1	Q4	1e7	158610000
gandalff_2_1	Q5	1e4	   260113
gandalff_2_1	Q5	1e5	  2975978
gandalff_2_1	Q5	1e6	 33248079
gandalff_2_1	Q5	1e7	575881150
