solution	question	in_rows	time_ns
gandalff_1	Q1	1e4	    251024
gandalff_1	Q1	1e5	   2258724
gandalff_1	Q1	1e6	  24549946
gandalff_1	Q1	1e7	 279967725
gandalff_1	Q2	1e4	   2139044
gandalff_1	Q2	1e5	   9266649
gandalff_1	Q2	1e6	  80368364
gandalff_1	Q2	1e7	1408535600
gandalff_1	Q3	1e4	    279938
gandalff_1	Q3	1e5	   2991861
gandalff_1	Q3	1e6	  41196852
gandalff_1	Q3	1e7	 651608050
gandalff_1	Q4	1e4	    284502
gandalff_1	Q4	1e5	   2663152
gandalff_1	Q4	1e6	  31520803
gandalff_1	Q4	1e7	 394239700
gandalff_1	Q5	1e4	    275440
gandalff_1	Q5	1e5	   3021978
gandalff_1	Q5	1e6	  43636896
gandalff_1	Q5	1e7	 695610700
